program,course_code,title,category,academic_year,semester,credits,language,course_url,description,skills_tags,type_of_exam
Economics,4.708,Recht/Law: Geschichte des Privatrechts,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,708,1.00.pdf","Course on the historical development of private law, analyzing legal systems, institutions, and their socio-economic context.","legal history, analysis, research, critical thinking, argumentation",oral exam (100%)
Economics,4.709,Recht/Law: Forensische Psychiatrie,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,709,1.00.pdf","Course on forensic psychiatry focusing on the intersection of mental health and law, including criminal responsibility and risk assessment.","psychology, law, forensic analysis, risk assessment, critical thinking",decentral exam (70%) + group presentation (30%)
Economics,4.721,"Technologies/Technologies: Neue Technologien, alte Machtverhältnisse?",Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,721,1.00.pdf","Course analyzing how digital technologies reproduce or challenge power structures such as inequality, racism, and sexism in society","technology, sociology, inequality, critical thinking, research, ethics",group presentation (30%) + written work (70%)
Economics,4.724,"Technologien/Technologies: Worte, Zahlen, Visualisierungen - Multimodalität in zeitgenössischen Diskursen",Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,724,1.00.pdf","Course on multimodal communication analyzing the interaction of text, data, and visualizations in shaping modern discourse","data visualization, communication, analysis, critical thinking, research",Group presentation (40%) + decentral exam (60%)
Economics,4.725,Technologien/Technology: Ruse of the Robots - Rethinking Automation Hype,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,725,1.00.pdf","Course critically examining automation and AI narratives, focusing on labor, inequality, and technological change","AI, automation, economics, critical thinking, labor studies, analysis",written work (70%) + oral exam (30%)
Economics,4.729,Technologien/Technologies: Technology and the Climate Crisis,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,729,1.00.pdf","Course exploring the role of technology in climate change, analyzing both solutions and limitations of technological approaches.","climate change, sustainability, technology, critical thinking, environmental analysis",Group presentation (20%) + written work (80%)
Economics,4.73,Technologie/Technologies: Digital Platforms and the Future of Labor,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,730,1.00.pdf","Course on platform economies and gig work, examining their economic, social, and political implications","platform economy, labor economics, digital business, analysis, sociology",quiz (15%) + presentation (35%) + written work (50%)
Economics,4.74,"Verantwortung/Responsibility: Auf dem Weg zu einer Kreislaufwirtschaft - Voraussetzungen, Möglichkeiten und Grenzen",Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,740,1.00.pdf","Course on circular economy concepts and sustainability strategies, focusing on resource efficiency and environmental impact.","sustainability, circular economy, environmental studies, strategy, analysis",group presentation (40%) + written work (60%)
Economics,4.741,"Verantwortung/Responsibility: Kritik als Konzept, Kompetenz und Fähigkeit am Beispiel des Whistleblowings",Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,741,1.00.pdf","Course on critical thinking and whistleblowing, analyzing ethics, power structures, and organizational responsibility.","ethics, critical thinking, governance, leadership, communication",Group presentation (40%) + written work (60%)
Economics,4.742,Verantwortung/Responsibility: Soziales Engagement in Praxis und Theorie,Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,742,1.00.pdf","Course combining theory and practice of social engagement, focusing on societal challenges and hands-on experience in social institutions","social impact, teamwork, empathy, communication, reflection, problem solving",Portfolio (100%)
Economics,4.743,Verantwortung/Responsibility: How to Understand Greenwashing,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,743,1.00.pdf","Course on greenwashing analyzing sustainability communication, corporate behavior, and ethical challenges in environmental discourse","sustainability, ethics, marketing, critical thinking, analysis",written work (60%) + group presentation (40%)
Economics,4.744,Verantwortung/Responsibility: Democratizing Work - Vices and Chances for Sustainable Economies,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,744,1.00.pdf","Course on democratic organizations and workplace structures, focusing on participation, governance, and sustainable economic models.","leadership, governance, sustainability, teamwork, organizational design",group role play (30%) + written work (35%) + group presentation (35%)
Economics,4.745,Verantwortung/Responsibility: All you can fish? Ein Unternehmensplanspiel zwischen Profitmaximierung und Nachhaltigkeit,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,745,1.00.pdf","Course using a business simulation to explore trade-offs between profit maximization and sustainability, focusing on resource management and stakeholder decision-making","sustainability, strategy, decision making, stakeholder management, teamwork, problem solving",Group presentation (40%) + written work (60%)
Economics,4.746,"Verantwortung/Responsibility: Citius, altius, fortius - Sport zwischen Ethik und Kommerz",Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,746,1.00.pdf","Course analyzing the ethical and economic dimensions of modern sports, including commercialization, governance, and societal impact","ethics, sports business, economics, critical thinking, governance, analysis",Group presentation (45%) + written work (55%)
Economics,4.747,Verantwortung/Responsibility: Global Challenges - A Normative Economics Perspective,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,747,1.00.pdf","Course examining global challenges such as climate change, inequality, and AI through the lens of normative economics and distributive justice theories","economics, policy analysis, ethics, critical thinking, global issues, modeling",Group presentation (50%) + decentral exam (50%)
Economics,4.748,"Verantwortung/Responsibility: Corporate Responsibility In Sub- Saharan Africa - Health Care, Technology and Human Rights",Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,748,1.00.pdf","Course on corporate responsibility in Sub-Saharan Africa, focusing on ethical dilemmas in business related to human rights, technology, and development","CSR, ethics, global development, human rights, strategy, critical thinking",Group presentation (50%) + written work (50%)
Economics,4.749,Verantwortung/Responsibility: Wann und wie ist Krieg erlaubt? Eine ethische Grundlegung,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,749,1.00.pdf","Course exploring the ethical foundations of war, including just war theory, political philosophy, and contemporary conflict debates","ethics, political philosophy, critical thinking, argumentation, analysis",group presentation (50%) + written work (50%)
Economics,4.752,"Verantwortung/Responsibility: Effects of ecological crises on human cognition, emotion, and behaviour",Area of concentration,2026.0,Spring,6.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,752,1.00.pdf","Course analyzing how environmental crises affect human cognition, emotions, and behavior, and how to design interventions.","psychology, sustainability, behavioral science, research, analysis",Portfolio (100%)
Economics,4.753,Verantwortung/Responsibility: The Power of Games - How Simulation Games Can Foster Sustainability Transitions,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,753,1.00.pdf",Course on using and designing simulation games to understand and manage sustainability transitions and complex decision environments.,"game design, sustainability, systems thinking, strategy, creativity",group presentation (60%) + written work (40%)
Economics,4.756,"Verantwortung/Responsibility: Mensch, Arbeit, Ethik",Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,756,1.00.pdf","Course examining the ethical, social, and cultural dimensions of work, including digitalization, inequality, and the future of labor.","ethics, sociology, work studies, critical thinking, analysis",Group presentation (40%) + written work (60%)
Economics,4.762,Freier Bereich/Open Area: Game Design 101,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,762,1.00.pdf","Course introducing game design principles through hands-on creation of analog game prototypes, covering mechanics, engagement, and design thinking","game design, creativity, prototyping, design thinking, teamwork",group presentation (45%) + written work (55%)
Economics,4.659,Kreativität/Creativity: Werkstatt/Workshop,Area of concentration,2026.0,Spring,6.0,English,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=079202e3-c59b-4646-ad1f-fb8e64426960,Workshop where students develop an interdisciplinary research project and apply creative methods to explore and solve complex problems.,"creativity, research, critical thinking, problem solving, reflection",Portfolio (100%)
Economics,4.679,Kulturen/Cultures: Werkstatt/Workshop,Area of concentration,2026.0,Spring,6.0,English,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=af25e88e-f0a5-4bb9-b370-7c905474bb81,"Workshop focusing on cultural analysis and interdisciplinary research, enabling students to explore complex socio-cultural phenomena and develop research skills","cultural studies, research, critical thinking, analysis, communication",Portfolio (100%)
Economics,4.699,Medien/Media: Werkstatt/Workshop,Area of concentration,2026.0,Spring,6.0,English,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=8006c901-0ac9-413d-a471-69ade831d0df,"Workshop on media studies where students develop an interdisciplinary research project and analyze media processes, technologies, and their societal impact using various research methods","media studies, research, critical thinking, data analysis, communication, methodology",Portfolio (100%)
Economics,4.739,Technologien/Technologies: Werkstatt/Workshop,Area of concentration,2026.0,Spring,6.0,English,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=46ebb404-e435-4896-b473-3bea43e479e7,"Workshop focusing on analyzing technological trends, societal impacts, and ethical implications, while developing an interdisciplinary research project","technology, digital transformation, ethics, research, critical thinking, analysis",Portfolio (100%)
Economics,4.759,Verantwortung/Responsibility: Werkstatt/Workshop,Area of concentration,2026.0,Spring,6.0,English,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=ee6f0eac-ba02-493f-82ef-97b524cea229,"Workshop on responsibility across individual, corporate, and societal levels, focusing on ethical decision-making and sustainable solutions in global contexts","ethics, sustainability, responsibility, strategy, problem solving, critical thinking",Portfolio (100%)
Economics,4.781,Theater spielen - ein Werkzeug zur praktischen Analyse von Kommunikationsstrukturen,Skills,2026.0,Spring,2.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,781,1.00.pdf","Course using theater techniques to analyze and improve communication skills. Focuses on presence, expression, and conflict handling through practical exercises, improvisation, and performance based on acting methods.","communication, public speaking, presentation skills, conflict resolution, emotional intelligence, teamwork, self-awareness",written work (50%) + group role play (50%)
Economics,4.782,Be the Change - Discovering Consulting and Sustainability,Skills,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,782,1.00.pdf","Course on sustainability consulting where students work on real-world business challenges with startups. Focuses on sustainable business models, consulting methods, and leadership development through hands-on projects.","consulting, sustainability, strategy, business models, problem solving, teamwork, leadership, entrepreneurship",Portfolio (100%)
Economics,4.783,Emotionale Intelligenz,Skills,2026.0,Spring,2.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,783,1.00.pdf","Course on emotional intelligence and leadership focusing on group dynamics, communication, and team management. Includes practical exercises to develop self-awareness, conflict resolution, and leadership skills in organizational contexts","emotional intelligence, leadership, teamwork, communication, conflict resolution, self-awareness, group dynamics",group presentation (35%) + group written work (35%) + written work (30%)
Economics,4.784,From Prompt to Plot - Data Visualization with AI Copilots,Skills,2026.0,Spring,2.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,784,1.00.pdf","Course on data visualization using AI tools such as ChatGPT and Python, focusing on creating meaningful and accurate visual representations of data, understanding perception, and avoiding manipulation","data visualization, AI, data analysis, statistics, python, critical thinking, communication",Portfolio (100%)
Economics,4.785,"(Self-) - Leadership: High Performance, Resilienz und das Recht, anders zu sein.",Skills,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,785,1.00.pdf","Course on self-leadership and resilience focusing on high performance, stress management, conflict resolution, and leadership in modern organizational environments.","leadership, self-management, resilience, conflict resolution, teamwork, personal development",Group presentation (50%) + written work (50%)
Economics,4.786,Intercultural Communication - Central and Eastern European Region,Skills,2026.0,Spring,2.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,786,1.00.pdf","leadership, self-management, resilience, conflict resolution, teamwork, personal development",,group presentation (60%) + written work (40%)
Economics,4.787,(Wissenschaftlich) schreiben mit AI-Unterstützung - interdisziplinäre Zugänge zu Large Language Models,Skills,2026.0,Spring,2.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,787,1.00.pdf","Course on intercultural communication in Central and Eastern Europe, covering cultural, political, and economic factors influencing interactions and global business contexts","intercultural communication, globalization, negotiation, cultural awareness, communication, analysis",written work (80%) + written work (20%)
Economics,4.788,Werteorientiertes Fundraising,Skills,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,788,1.00.pdf","Course on fundraising strategies for non-profit organizations, focusing on ethics, stakeholder engagement, storytelling, and impact-driven resource mobilization","fundraising, strategy, communication, stakeholder management, ethics, storytelling",Presentation (30%) + written work (70%)
Economics,4.789,Resilienz und mentale Gesundheit,Skills,2026.0,Spring,2.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,789,1.00.pdf","Course on resilience and mental health focusing on stress management, mindfulness, emotional regulation, and personal wellbeing in academic and professional life","mental health, resilience, self-awareness, mindfulness, emotional intelligence, wellbeing",Group presentation (40%) + written work (60%)
Economics,4.793,Präsentationskompetenz - wirkungsvoll reden und präsentieren,Skills,2026.0,Spring,2.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,793,1.00.pdf","Course on effective presentation and communication techniques, focusing on rhetoric, storytelling, audience engagement, and confident public speaking","presentation skills, public speaking, communication, storytelling, confidence, rhetoric",Portfolio (100%)
Economics,4.797,Interpreting Statistical Data from Behavioural Research,Skills,2026.0,Spring,2.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,797,1.00.pdf","Course on analyzing and interpreting statistical data in behavioral research using tools like SPSS, with applications in business, psychology, and management","statistics, data analysis, SPSS, research, critical thinking, quantitative analysis",Portfolio (100%)
Economics,4.798,Pax Ludens - International Negotiation Management,Skills,2026.0,Spring,2.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,798,1.00.pdf","Course on negotiation strategies in business and geopolitical contexts using simulations, focusing on decision-making, stakeholder management, and conflict resolution","negotiation, strategy, decision making, conflict resolution, stakeholder management, communication",Group presentation (40%) + written work (60%)
Economics,4.799,Programming - Introduction Level,Skills,2026.0,Spring,2.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,799,1.00.pdf","Introductory course to programming covering fundamental concepts and problem-solving using languages such as Python, Java, and others","programming, coding, problem solving, python, software development, logic",group programming (50%) + programming (50%)
Economics,4.794,DreamTeam - Mentoringprogramm für die nächste Generation (Teil 2),Skills,2026.0,Spring,8.0,German,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=8ba188ac-e157-4400-8454-48bad748f8bf,"Service-learning course combining mentoring of children with personal development, focusing on empathy, communication, and social responsibility through practical engagement.","mentoring, empathy, communication, social skills, leadership, teamwork",Portfolio (100%)
Business Administration / Economics / Law & Economics,4.802,Deutsch C1,Languages,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,802,1.00.pdf","Advanced German language course focusing on academic and professional communication, comprehension, and expression in complex contexts.","german language, communication, writing, speaking, comprehension, academic skills, german, reading, business language",decentral exam (50%) + oral exam (50%)
Economics,4.81,English C2,Languages,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,810,1.01.pdf","Advanced English course aimed at near-native proficiency, focusing on professional communication, academic discussion, and business writing","english language, communication, writing, speaking, business communication, fluency",decentral exam (67%) + oral exam (33%)
Economics,4.811,English C2 (lawyers),Languages,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,811,1.00.pdf","Specialized English course for legal contexts focusing on professional communication, drafting legal documents, and discussing legal issues in international environments","English, legal communication, law, writing, negotiation, professional skills",decentral exam (67%) + oral exam (33%)
Economics,4.814,English C1,Languages,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,814,1.01.pdf","Advanced English course focused on business communication and employability skills, including presentations, negotiations, meetings, and analysis of complex texts in professional contexts","English, business communication, presentation, negotiation, communication, critical thinking",decentral exam (50%) + oral exam (50%)
Economics,4.82,French C2,Languages,2026.0,Spring,4.0,French,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,820,1.00.pdf","Near-native level French course focusing on advanced academic and economic communication, including argumentation, essay writing, and discussion of complex societal and economic issues","French, expert communication, academic writing, argumentation, analysis, business language",decentral exam (67%) + oral exam (33%)
Economics,4.824,French C1,Languages,2026.0,Spring,4.0,French,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,824,1.00.pdf","Advanced French course focusing on professional and business communication, including writing reports, business correspondence, and discussing economic and societal topics in academic and workplace contexts.","French, advanced communication, business communication, writing, speaking, analysis",decentral exam (50%) + oral exam (50%)
Economics,4.826,French B2,Languages,2026.0,Spring,4.0,French,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,826,1.01.pdf","Upper-intermediate French course focused on business communication, including writing, presenting, and developing a business plan in French","French, business communication, writing, speaking, presentation, communication",decentral exam (50%) + oral exam (50%)
Economics,4.83,Italian C1,Languages,2026.0,Spring,4.0,Italian,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,830,1.00.pdf","Advanced Italian course focused on business communication and academic proficiency, enabling students to discuss complex topics and operate in professional environments","Italian, advanced communication, business language, writing, speaking, analysis",decentral exam (50%) + oral exam (50%)
Economics,4.836,Italian B1,Languages,2026.0,Spring,4.0,Italian,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,836,1.01.pdf","Intermediate Italian course focused on building communication skills, grammar, and vocabulary for everyday and academic contexts.","Italian, communication, grammar, writing, speaking, comprehension",decentral exam (50%) + oral exam (50%)
Economics,4.842,Spanish C1,Languages,2026.0,Spring,4.0,Spanish,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,842,1.00.pdf","Advanced Spanish course developing high-level communication skills for academic and professional contexts, including complex discussions and specialized vocabulary","Spanish, advanced language, communication, writing, speaking, academic skills",decentral exam (50%) + oral exam (50%)
Economics,4.844,Spanish B2,Languages,2026.0,Spring,4.0,Spanish,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,844,1.01.pdf","Upper-intermediate Spanish course focusing on fluent communication, complex grammar, and discussion of societal and economic topics","Spanish, advanced communication, grammar, writing, speaking, analysis",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.846,Spanish B1,Languages,2026.0,Spring,4.0,Spanish,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,846,1.01.pdf","Intermediate Spanish course building grammar, vocabulary, and communication skills to enable participation in academic and everyday discussions.","Spanish, communication, grammar, writing, speaking, comprehension, spanish, vocabulary",decentral exam (50%) + oral exam (50%)
Economics,4.852,Portuguese B1,Languages,2026.0,Spring,4.0,Portuguese,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,852,1.00.pdf","Intermediate Portuguese course developing communication skills in academic and professional contexts, with focus on grammar, culture, and economic topics.","Portuguese, communication, writing, speaking, grammar, cultural awareness",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.863,Chinese A2,Languages,2026.0,Spring,4.0,Chinese,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,863,1.00.pdf",Elementary-intermediate Chinese course expanding vocabulary and grammar to enable communication in daily and academic contexts,"Chinese, communication, grammar, writing, speaking, comprehension, chinese, vocabulary",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.864,Chinese A1,Languages,2026.0,Spring,4.0,Chinese,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,864,1.01.pdf","Beginner Chinese course introducing basic communication skills, characters, and pronunciation for everyday situations","Chinese, beginner language, communication, characters, pronunciation, basics, chinese, pinyin, speaking",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.866,Chinese B1,Languages,2026.0,Spring,4.0,Chinese,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,866,1.00.pdf","Intermediate Chinese course focusing on communication, reading, and writing skills, with integration of AI tools for autonomous language learning","Chinese, communication, writing, reading, speaking, language learning, chinese, presentation",decentral exam (50%) + oral exam (50%)
Economics,4.872,Japanese A1,Languages,2026.0,Spring,4.0,Japanese,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,872,1.00.pdf","Beginner Japanese course introducing basic communication, vocabulary, and writing systems (Hiragana and Katakana) for everyday interactions","Japanese, beginner language, communication, writing systems, vocabulary, basics",decentral exam (50%) + oral exam (50%)
Economics,4.874,Japanese B1,Languages,2026.0,Spring,4.0,Japanese,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,874,1.00.pdf","Intermediate Japanese course focused on expanding vocabulary, grammar, and Kanji knowledge to communicate effectively in academic and everyday situations.","Japanese, communication, Kanji, writing, speaking, language skills",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.883,Russian A2,Languages,2026.0,Spring,4.0,Russian,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,883,1.00.pdf","Elementary-intermediate Russian course expanding communication abilities, focusing on grammar, vocabulary, and interaction in everyday and academic contexts.","Russian, communication, grammar, writing, speaking, comprehension, russian",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.884,Russian A1,Languages,2026.0,Spring,4.0,Russian,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,884,1.00.pdf",Beginner Russian course introducing basic vocabulary and grammar for simple communication in everyday situations and cultural contexts,"Russian, beginner language, communication, vocabulary, speaking, basics, russian, grammar",decentral exam (50%) + oral exam (50%)
Economics,4.886,Russian B1,Languages,2026.0,Spring,4.0,Russian,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,886,1.00.pdf","Intermediate Russian course focused on developing communication, grammar, and comprehension skills for academic and everyday contexts","Russian, communication, grammar, writing, speaking, language skills",decentral exam (50%) + oral exam (50%)
Economics,4.892,Arabic A1,Languages,2026.0,Spring,4.0,Arabic,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,892,1.00.pdf","Beginner Arabic course introducing basic communication, writing system, and cultural aspects, enabling students to interact in simple everyday situations","Arabic, beginner language, communication, writing, pronunciation, cultural awareness",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.893,Arabic B1,Languages,2026.0,Spring,4.0,Arabic,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,893,1.00.pdf","Intermediate Arabic course developing communication skills in both Modern Standard Arabic and dialect, focusing on cultural understanding and practical language use in real-life situations.","Arabic, communication, cultural awareness, writing, speaking, language skills, arabic, culture, grammar",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.804,Deutsch B2,Languages,2026.0,Spring,4.0,German,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=f2e2fdad-8000-45c7-8295-3df5a0a497a9,"Intermediate German course focusing on improving fluency, discussion skills, and comprehension of academic and societal topics, enabling students to communicate effectively in professional and academic contexts","German, communication, writing, speaking, comprehension, academic skills, german, business",decentral exam (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,4.805,Deutsch B1,Languages,2027.0,Spring,5.0,German,https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/CourseInformationSheet.ashx?HsgEntityId=765f7584-d8a2-4449-9c9e-9e7ba279a389,"Introductory-intermediate German course developing communication skills for everyday, academic, and professional situations, with focus on structured conversations and expressing opinions","German, communication, basic writing, speaking, comprehension, language skills, german, grammar, writing",decentral exam (50%) + oral exam (50%)
Business Administration / Law & Economics,4.125,Grundlagen und Methoden der Informatik für Wirtschaftswissenschaften,Compulsory,2026.0,Spring,8.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,125,1.00.pdf","Introduction to computer science for business including programming, algorithms, databases, networks and machine learning.","programming, python, algorithms, databases, machine learning, data engineering, SQL, computer networks, web development, object oriented programming",Programming project (20%) + written exam (80%)
Business Administration / Law & Economics,4.105,Methods: Empirical Social Research,Compulsory,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,105,1.00.pdf","Course on empirical research including qualitative and quantitative methods, data collection and research proposal development.","research methods, data analysis, qualitative research, quantitative research, statistics, empirical research, research design, research proposal, peer review",Written work (30%) + written exam (70%)
Business Administration / Law & Economics,4.14,Einführung in das Operations-Management,Compulsory,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,140,1.00.pdf","Introduction to operations including forecasting, supply chain, production and optimization.","operations, supply chain, forecasting, optimization, production, operations management, inventory management, production management, revenue management, excel, data-driven decision making",Quiz (10%) + written exam (90%)
Business Administration / Law & Economics,4.12,Methods: Statistics,Compulsory,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,120,1.00.pdf","Course on statistical methods including probability, regression, hypothesis testing and data analysis.","statistics, probability, regression, data analysis, hypothesis testing, distributions, ANOVA, inferential statistics",Written exam (100%)
